معیار;زیرمعیار;کد رویکرد;عنوان رویکرد;مصادیق مستندات;هدف رویکرد;فرایندهای مرتبط;اهداف و استراتژی های مرتبط;اهداف راهبردی مرتبط;شاخص‌های مرتبط از بانک شاخص‌ها;شرح جاری سازی;مستندات مرتبط
2. فرهنگ سازمانی و رهبری;2-ب: ایجاد شرایط برای تحقق تغییر;2.2.4;فراهم کردن منابع یادگیری;لیست دوره‌ها و منابع آموزشی | گزارش حضور کارکنان و ارزیابی اثربخشی آموزش‌ها;ارائه دوره‌های آموزشی و منابع آنلاین برای ارتقاء مهارت‌ها و یادگیری مداوم کارکنان.حمایت از حضور در دوره های آموزشی- کنفرانس ها و همچنین نمایشگاه های مرتبط; مدیریت آموزش و ارتقای شغلی (SOP-312)| مدیریت دانش;پیاده‌سازی نظام آموزش مستمر و هدفمند|توانمندسازی نیروی انسانی;ارتقای دانش و مهارت کارکنان;میانگین نمره آموزش و توسعه کارکنان | فرصت‌های آموزش و توانمندسازی کارکنان | نرخ بازده سرمایه گذاری در آموزش | میزان یادگیری و آموزش مستمر کارکنان | میانگین ساعات آموزش کارکنان | افزایش دانش فردی و سازمانی | رضایت از توسعه مهارت‌ها و آموزش;;
2. فرهنگ سازمانی و رهبری;2-ب: ایجاد شرایط برای تحقق تغییر;2.2.5;آموزش مدیریت تغییر;برنامه‌های کارگاهی و مستندات فرایند مدیریت تغییر | گزارش‌های ارزیابی آمادگی کارکنان;برگزاری کارگاه‌های آموزشی برای آماده‌سازی کارکنان در مدیریت تغییرات و فرآیندهای جدید. و تدوین فرایند مدیریت تغییر و روش اجرایی مربوطه;مدیریت تغییر (MOP-134);پیاده‌سازی نظام آموزش مستمر و هدفمند|توانمندسازی نیروی انسانی;ارتقای دانش و مهارت کارکنان;میانگین نمره آموزش و توسعه کارکنان | نرخ بازده سرمایه گذاری در آموزش | میانگین ساعات آموزش کارکنان | نمره بازسازی و تغییر ساختار | افزایش دانش فردی و سازمانی | میزان یادگیری و آموزش مستمر کارکنان | رضایت از توسعه مهارت‌ها و آموزش;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.1;ایجاد فرهنگ نوآوری;گزارش رویدادهای نوآوری و چالش‌های ایده | مستندات ترویج فرهنگ نوآوری;ترویج فرهنگی که خلاقیت و نوآوری را تشویق کند، از جمله برگزاری رویدادهای نوآوری و چالش‌های ایده.;تحقیق و توسعه (R&D) (COP-241);ایجاد مرکز R&D تخصصی| جذب ایده‌های نوآورانه در مسابقات یا رویدادهای کارآفرینی|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;میزان خلاقیت و نوآوری در سازمان | نرخ نوآوری در محصولات و خدمات | توانمندی پایپلاین نوآوری | نرخ بازده سرمایه گذاری در حوزه نوآوری | میزان خلاقیت و نوآوری کارکنان | درصد نوآوری و تحقیق و توسعه محصولات | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.2;تعیین اهداف نوآوری;مستندات اهداف نوآورانه تیم‌ها و پروژه‌ها | گزارش پیشرفت تحقق اهداف نوآوری;تعریف اهداف و چالش‌های نوآورانه برای تیم‌ها و واحدها به‌منظور تحریک خلاقیت. و همچنین تعیین اهداف نوآورانه و فناورانه در پروژه ها برای تیم مشاور مطالعات و طراحی;تحقیق و توسعه (R&D) (COP-241);ایجاد مرکز R&D تخصصی|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;نرخ بازده سرمایه گذاری در حوزه نوآوری | توانمندی پایپلاین نوآوری | درصد نوآوری و تحقیق و توسعه محصولات | درصد موفقیت پروژه‌های تحقیق و توسعه | نسبت سرمایه‌گذاری تحقیق و توسعه | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده | زمان عرضه به بازار;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.3;تأمین منابع و ابزارهای نوآوری;لیست ابزارها و فناوری‌های نوآورانه | گزارش استفاده و اثربخشی آنها;فراهم کردن ابزارها و فناوری‌های لازم برای تسهیل فرآیندهای نوآوری و خلاقیت. نظیر نظام پیشنهادات و زیرساخت های نرم افزاری و سامانه های مورد نیاز نظیر BIM;تحقیق و توسعه (R&D) (COP-241);همکاری با شرکت‌های دانش‌بنیان| ایجاد مرکز R&D تخصصی|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;نرخ بازده سرمایه گذاری در حوزه نوآوری | هزینه های فناوری اطلاعات به عنوان درصدی از درآمد | توانمندی پایپلاین نوآوری | نسبت سرمایه‌گذاری تحقیق و توسعه | درصد اجرای فناوری‌های جدید | استفاده و توسعه فناوری‌های نوین | توسعه فناوری و اطلاعات;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.4;حذف موانع نوآوری;مستندات شناسایی موانع | اقدامات حذف و بهبود فرآیندها;شناسایی و حذف موانع داخلی که مانع از نوآوری می‌شوند، مانند فرآیندهای زائد و بروکراسی.;مدیریت تغییر (MOP-134)| توسعه نظام پیشنهادات و نوآوری باز (2.3.6);توسعه نظام‌های مدیریت و تعالی سازمانی|توسعه تحقیق و توسعه (R&D);توسعه نظام های مدیریت و تعالی سازمانی;میزان خلاقیت و نوآوری کارکنان | تشویق خلاقیت و ابتکار در بین کارکنان | کارایی عملیاتی فرآیندها | سطح دوباره کاری | نمره بازسازی و تغییر ساختار | نسبت هزینه های عملیاتی | وضعیت اجتناب از هزینه ها;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.5;تشویق یادگیری از تجربیات;گزارش جلسات مرور پروژه‌ها و اشتراک تجربیات | مستندات درس‌های آموخته شده;ایجاد فضایی برای اشتراک‌گذاری درس‌های آموخته شده از تجربیات گذشته و برگزاری جلسات مرور پروژه‌ها و بیان تجربیات شکست و تحلیل عوامل عدم موفقیت; مدیریت آموزش و ارتقای شغلی (SOP-312)| بستر اشتراک یادگیری و مدیریت دانش (3.2.4);توسعه نظام‌های مدیریت و تعالی سازمانی|توسعه تحقیق و توسعه (R&D);توسعه نظام های مدیریت و تعالی سازمانی;میزان یادگیری و آموزش مستمر کارکنان | افزایش دانش فردی و سازمانی | انتقال دانش و تجربیات بین کارکنان | مدیریت دانش و اطلاعات سازمانی | میانگین نمره آموزش و توسعه کارکنان | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | نرخ بازده سرمایه گذاری در آموزش;;
2. فرهنگ سازمانی و رهبری;2-ج: امکان‌پذیری خلاقیت و نوآوری;2.3.6;توسعه نظام پیشنهادات و نوآوری باز;مستندات نظام فرایند و رویه‌ها | گزارش کمپین‌های جمع‌آوری ایده و پلتفرم نرم‌افزاری مرتبط;طرحریزی نظام فرایند و رویه ها و دستورالعمل ها مربوطه نظیر بذر پیشنهادات و برگزاری کمپین و فراخوان جمع آوری ایده ها و اقدام به طراحی پلتفرم‌ نرم افزاری مربوطه برای  همکاری و تبادل ایده‌ها بین کارکنان و تیم‌ها.;تحقیق و توسعه (R&D) (COP-241)| توسعه نظام پیشنهادات و نوآوری باز (2.3.6);ایجاد مرکز R&D تخصصی| جذب ایده‌های نوآورانه در مسابقات یا رویدادهای کارآفرینی|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان خلاقیت و نوآوری کارکنان | توانمندی پایپلاین نوآوری | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | نرخ بازده سرمایه گذاری در حوزه نوآوری | درصد تعهد به فعالیت‌های هم‌آفرینی | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات;;
2. فرهنگ سازمانی و رهبری;2-د: حمایت از فلسفه وجودی، چشم‌انداز و استراتژی و ایجاد تعهد;2.4.1;اشتراک‌گذاری فلسفه و چشم‌انداز;گزارش جلسات عمومی و کارگاه‌ها | انتشار محتوا در وب‌سایت و کانال‌های ارتباطی;برگزاری جلسات عمومی و کارگاه‌ها برای به‌اشتراک‌گذاری و توضیح فلسفه و چشم‌انداز سازمان با ذینفعان و همچنین انتشار در وب سایت و کانال های ارتباطی;مدیریت استراتژیک (MOP-111)| مدیریت ذینفعان و روابط بیرونی (MOP-132);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان | سطح آگاهی از استراتژی های سازمانی | نمره اثربخشی ارتباطات سازمانی | میانگین نمره شهرت برند | میانگین نمره تجربه کلی ذی‌نفعان | رضایت از اطلاع‌رسانی به موقع | رضایت از سیستم اطلاع‌رسانی;;
2. فرهنگ سازمانی و رهبری;2-د: حمایت از فلسفه وجودی، چشم‌انداز و استراتژی و ایجاد تعهد;2.4.2;شفاف‌سازی نقش‌های ذی‌نفعان;مستندات نقش‌ها و مسئولیت‌های ذی‌نفعان | گزارش‌های ارتباطی مرتبط;تعریف و مستندسازی نقش‌های مختلف ذی‌نفعان در دستیابی به اهداف سازمان;مدیریت ذینفعان و روابط بیرونی (MOP-132);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه شرکا در تعامل با سازمان | شفافیت در فرآیند انتخاب و همکاری با شرکا و تأمین‌کنندگان | شاخص شفافیت و پاسخگویی در مدیریت | تفویض اختیار و مسئولیت به کارکنان | رضایت از احساس مسئولیت کارکنان;;
2. فرهنگ سازمانی و رهبری;2-د: حمایت از فلسفه وجودی، چشم‌انداز و استراتژی و ایجاد تعهد;2.4.3;برگزاری مسابقات و کمپین‌های آگاهی;مستندات برنامه‌ها و نتایج کمپین‌ها | گزارش مشارکت کارکنان و ذی‌نفعان;طراحی و اجرای کمپین‌ها و مسابقات فرهنگ سازی و آگاه سازی ارکتن جهت ساز میان کارکنان و ذینفعان برای افزایش آگاهی آنها از ماموریت و ارزش‌های سازمان.;بازاریابی و برندینگ (COP-251)| مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه فرهنگ مطلوب سازمانی|افزایش رضایت ذینفعان;توسعه فرهنگ مطلوب سازمانی;سطح آگاهی از استراتژی های سازمانی | میزان آگاهی مشتریان از اهداف سازمان | نمره اثربخشی ارتباطات سازمانی | میانگین نمره شهرت برند | مشارکت کارکنان | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | نمره تعهد اجتماعی سازمان;;
2. فرهنگ سازمانی و رهبری;2-د: حمایت از فلسفه وجودی، چشم‌انداز و استراتژی و ایجاد تعهد;2.4.4;استفاده از بازخوردها در تصمیم‌گیری;صورتجلسات کارگروه‌ها و کمیته‌های مشترک | تحلیل بازخوردها و مستندات تصمیم‌گیری‌ها;ایجاد کارگروه ها و کمیته های مشترک با ذینفعان و جلسات گروه متمرکز و طوفان فکری برای جمع‌آوری و تحلیل بازخوردها و استفاده از نظرات آن‌ها در تصمیم‌گیری‌های استراتژیک.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| مدیریت رضایت و شکایت مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)| توسعه ارتباط با مشتری|افزایش رضایت ذینفعان;تعامل اثربخش و پاسخگو;بازخورد 360 درجه | نمره رسیدگی به شکایات مشتریان | میانگین نمره تجربه کلی ذی‌نفعان | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | رضایت از مشارکت در تصمیم‌گیری | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | درصد تعهد به فعالیت‌های هم‌آفرینی;;
2. فرهنگ سازمانی و رهبری;2-د: حمایت از فلسفه وجودی، چشم‌انداز و استراتژی و ایجاد تعهد;2.4.5;جشن موفقیت;گزارش مراسم و رویدادهای مناسبتی | مستندات توزیع پاداش و تقدیر;برگزاری مراسم و رویدادهای مناسبتی نظیر سالروز تاسیس شرکت و اتمام پروژه ها و یا موفقیت هایی وجشن گرفتن موفقیت‌هایی که با چشم‌انداز سازمان هم‌راستا هستند و توزیع پاداش میان کارکنان; جبران خدمات و انگیزش کارکنان (SOP-314);طراحی مسیر شغلی و برنامه‌های انگیزشی|توسعه فرهنگ مطلوب سازمانی;توسعه فرهنگ مطلوب سازمانی;حمایت، تشویق و تقدیر از کارکنان توسط سازمان | سیستم تشویق و تنبیه منصفانه | جبران خدمات و قدردانی از عملکرد کارکنان | تعهد کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان | میانگین نمره فرهنگ سازمانی | رضایت کلی کارکنان;;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.1;شناسایی و طبقه‌بندی مشتریان;گزارش تحلیل داده‌ها و نظرسنجی‌های بازار | مستندات طبقه‌بندی مشتریان بر اساس نیازها و ارزش‌ها;شناسایی مشتریان کلیدی با استفاده از تحلیل داده‌ها و نظرسنجی‌های بازار. سپس طبقه‌بندی آن‌ها بر اساس نیازها و ارزش‌های آن‌ها به‌منظور تخصیص منابع مناسب.;مدیریت ذینفعان و روابط بیرونی (MOP-132)| مدیریت رضایت و شکایت مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)| توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | سودآوری مشتری | ارزش دوره حیات مشتری | درصد درآمد به ازای هر مشتری عمده | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | نرخ آگاهی مشتریان | میزان آگاهی مشتریان از اهداف سازمان;;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.2;حفظ رابطه در چرخه ارزش;مستندات برنامه‌های وفاداری | گزارش‌های نرم‌افزار CRM و تعاملات دوره‌ای با مشتریان;ایجاد و حفظ روابط پایدار با مشتریان از طریق برنامه‌های وفاداری و تماس‌های دوره‌ای. استفاده از نرم‌افزار CRM برای مدیریت تعاملات و پیگیری نیازهای مشتری.;مدیریت رضایت و شکایت مشتریان (COP-253)| مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه سامانه‌های ارتباط با مشتری (CRM)| ارتقاء خدمات پس از فروش و پشتیبانی پروژه‌ها|افزایش رضایت ذینفعان;افزایش وفاداری مشتریان;نرخ حفظ مشتریان | امتیاز وفاداری مشتریان | میزان وفاداری مشتریان به محصولات و خدمات سازمان | نرخ جابجایی مشتریان | درصد ریزش مشتری | ارزش دوره حیات مشتری | میانگین نمره رضایت از پشتیبانی پس از فروش | نرخ حفظ مشتریان (رشد تعداد مشتریان و کاهش ریزش آنها);;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.3;درک نیازهای ارتباطی;نتایج نظرسنجی‌ها و گروه‌های کانونی | مستندات تطابق نیازهای ارتباطی با استراتژی‌های سازمان;تحلیل نیازهای ارتباطی مشتریان با استفاده از نظرسنجی‌ها و گروه‌های کانونی، و تطابق این نیازها با استراتژی‌های ارتباطی سازمان.;مدیریت رضایت و شکایت مشتریان (COP-253)| مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | کیفیت ارتباط و تعاملات سازمان با مشتریان | رضایت از کانال‌های ارتباطی شرکت | نمره اثربخشی ارتباطات سازمانی | سرعت و کیفیت پاسخگویی و رسیدگی به درخواست‌ها و مشکلات مشتریان | رضایت از نحوه رفتار کارکنان | رضایت از توجه به نظرات مشتریان;;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.4;ایجاد کانال‌های دوسویه;اسناد طراحی و پیاده‌سازی کانال‌های ارتباطی دو سویه (شبکه‌های اجتماعی، وب‌سایت تعاملی و غیره);طراحی و پیاده‌سازی کانال‌های ارتباطی دوسویه مانند شبکه‌های اجتماعی و وب‌سایت‌های تعاملی، بسترهای الکترونیکی مکاتبات و ... به‌منظور تسهیل ارتباطات و دریافت بازخورد.;مدیریت رضایت و شکایت مشتریان (COP-253)| مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;رضایت از کانال‌های ارتباطی شرکت | رضایت از دسترسی تلفنی | رضایت از ارائه خدمات الکترونیکی | ردپاها در شبکه های اجتماعی | نرخ آگاهی برخط مشتریان | صفحات بازدید شده | عدم دسترس پذیری وب سایت | کیفیت ارتباط دوطرفه بین کارکنان و مدیریت سازمان;;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.5;نظام مدیریت رضایت و شکایت مشتریان;فرایندهای جمع‌آوری نظرات و شکایات | گزارش‌های مدیریت شکایات و پاسخگویی به مشتریان;ایجاد فرایند و مکانیزم جمع آوری نظرات و پیشنهادات مشتریان و همچنین مدیریت شکایت مشتریان از طریق کانال های ارتباطی موثر;مدیریت رضایت و شکایت مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)| ارتقاء خدمات پس از فروش و پشتیبانی پروژه‌ها|افزایش رضایت ذینفعان;افزایش وفاداری مشتریان;نمره رسیدگی به شکایات مشتریان | شکایات مشتریان | درصد رسیدگی به شکایات | میانگین زمان پاسخ به شکایات | سرعت و اثربخشی پاسخگویی به شکایات و قدردانی از مشتریان | رضایت از رسیدگی به شکایات | درصد رضایت از فرآیند رسیدگی به شکایات | میانگین نمره تجربه کلی مشتری (CSAT);;
3. تعامل با ذی‌نفعان;3-الف: ارتباط پایدار با مشتریان;3.1.6;استفاده از اطلاعات به‌روز;گزارش‌های تحلیل داده‌های مشتریان | مستندات پایش مستمر و بهبود خدمات و محصولات;جمع‌آوری و تحلیل داده‌های به‌روز درباره رفتار مشتریان از طریق ابزارهای تحلیلی و پایش مستمر برای بهبود خدمات و محصولات.;مدیریت رضایت و شکایت مشتریان (COP-253)| رصد بازار و کشف فرصت (COP-211);توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه بازاریابی دیجیتال و تحقیقات بازار;میانگین نمره تجربه کلی مشتری (CSAT) | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | نمره تحلیل داده‌ها و روندهای فناوری | کیفیت محصولات، خدمات و فرآیندها | نمره کیفیت محصولات و خدمات | استفاده از نوآوری‌ها برای بهبود فرآیندها، محصولات و خدمات ارائه شده به مشتریان | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.1;توسعه استراتژی‌های کارکنان;اسناد طراحی استراتژی جذب و نگهداری کارکنان | نتایج نظرسنجی‌های نیازهای شغلی;طراحی استراتژی‌های جذب و نگهداری کارکنان با استفاده از تحلیل نیازهای شغلی و نظرسنجی از کارکنان.; برنامه ریزی جذب، خروج و انتقال کارکنان (SOP-311);جذب و نگهداشت نیروهای متخصص| پیاده‌سازی نظام آموزش مستمر و هدفمند|توانمندسازی نیروی انسانی;ارتقای دانش و مهارت کارکنان;نرخ تغییر/ جابجایی کارکنان | متوسط نرخ نگهداری کارکنان | زمان استخدام | متوسط درخواست ها برای پست های آزاد | رضایت کارکنان | تعهد کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان | نسبت رقابت پذیری حقوق و دستمزد | میانگین نمره آموزش و توسعه کارکنان;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.2;یکپارچه سازی برنامه های کارکنان;شرح مشاغل و شناسنامه شغلی | ساختار سازمانی مستند شده و تعیین وظایف و مسئولیت‌ها;تدوین ساختار سازمانی و شرح مشاغل و شناسنامه شغلی و تعیین وظایف و مسئولیت ها متناسب در راستای استراتژی ها و نیازهای کارکنان; برنامه ریزی جذب، خروج و انتقال کارکنان (SOP-311);طراحی مسیر شغلی و برنامه‌های انگیزشی|توانمندسازی نیروی انسانی;ارتقای تعلق سازمانی;پروفایل شایستگی های محوری کارکنان | نسبت ارزیابی عملکرد | سیستم ارزیابی عملکرد کارکنان | تفویض اختیار و مسئولیت به کارکنان | هم‌سویی اهداف فردی، تیمی و سازمانی | فرصت‌های ارتقای شغلی و پیشرفت حرفه‌ای | برنامه‌های جانشین‌پروری برای مدیران و کارکنان کلیدی | شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.3;نظام مدیریت آموزش و توانمندسازی کارکنان;برنامه‌های آموزشی و کارگاه‌های عملی | گزارش حضور و ارزیابی اثربخشی آموزش‌ها;فراهم کردن دوره‌های آموزشی و کارگاه‌های عملی برای افزایش مهارت‌های کارکنان، با استفاده از منابع داخلی و خارجی.; مدیریت آموزش و ارتقای شغلی (SOP-312);پیاده‌سازی نظام آموزش مستمر و هدفمند|توانمندسازی نیروی انسانی;ارتقای دانش و مهارت کارکنان;میانگین نمره آموزش و توسعه کارکنان | فرصت‌های آموزش و توانمندسازی کارکنان | نرخ بازده سرمایه گذاری در آموزش | میانگین ساعات آموزش کارکنان | میزان یادگیری و آموزش مستمر کارکنان | افزایش دانش فردی و سازمانی | بهره‌وری و کارایی نیروی انسانی | رضایت از توسعه مهارت‌ها و آموزش;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.4;بستر اشتراک یادگیری و مدیریت دانش;مستندات جلسات اشتراک دانش | پلتفرم‌های آنلاین و گزارش‌های استفاده از آنها;ترویج فرهنگ یادگیری و همکاری از طریق برگزاری جلسات اشتراک دانش و استفاده از پلتفرم‌های آنلاین.; مدیریت آموزش و ارتقای شغلی (SOP-312)| مدیریت دانش (SOP-326);توسعه نظام‌های مدیریت و تعالی سازمانی|توانمندسازی نیروی انسانی;توسعه نظام های مدیریت و تعالی سازمانی;انتقال دانش و تجربیات بین کارکنان | مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | میزان یادگیری و آموزش مستمر کارکنان | افزایش دانش فردی و سازمانی | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | رضایت از کار تیمی و مشارکت;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.5;محیط کاری حمایتی;برنامه‌های رفاهی و مشاوره روانشناختی | گزارش‌های ارزیابی محیط کاری مثبت;ایجاد محیط کاری مثبت و حمایتی از طریق برنامه‌های رفاهی و مشاوره‌های روانشناختی برای کارکنان.; جبران خدمات و انگیزش کارکنان (SOP-314);طراحی مسیر شغلی و برنامه‌های انگیزشی|توانمندسازی نیروی انسانی;ارتقای تعلق سازمانی;رضایت کارکنان | میانگین نمره محیط کار و مزایا | شرایط ایمنی، سلامت و محیط کار مناسب | فراهم بودن محیط کاری ایمن، سالم و مطلوب | تعادل بین زندگی شخصی و کاری کارکنان | میانگین نمره حمایت از زندگی خانوادگی کارکنان | رضایت از ایمنی و محیط کار | نظام جبران خدمات ثابت و متغیر کارکنان;;
3. تعامل با ذی‌نفعان;3-ب: جذب، دلبستگی، توسعه و نگهداری کارکنان;3.2.6;جبران خدمات و تقدیر از کارکنان;مستندات برنامه‌های تقدیر و تشویق | گزارش‌های سیستم‌های پاداش‌دهی و تقدیر عمومی;طراحی برنامه‌های تقدیر و تشویق برای کارکنانی که عملکرد خوبی دارند، با استفاده از سیستم‌های پاداش‌دهی و تقدیر عمومی.; جبران خدمات و انگیزش کارکنان (SOP-314);طراحی مسیر شغلی و برنامه‌های انگیزشی|توانمندسازی نیروی انسانی;ارتقای تعلق سازمانی;سیستم تشویق و تنبیه منصفانه | جبران خدمات و قدردانی از عملکرد کارکنان | حمایت، تشویق و تقدیر از کارکنان توسط سازمان | نمره تنوع و گوناگونی در پرداخت‌ها و مزایا | نسبت رقابت پذیری حقوق و دستمزد | نسبت پرداختی به مدیران به کارکنان | تعهد کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان;;
3. تعامل با ذی‌نفعان;3-ج: تضمین حمایت مستمر ذی‌نفعان کسب و کار و حاکمیتی;3.3.1;شناسایی و تحلیل نیازها و انتظارات سهامداران و ذینفعان کلیدی;نقشه‌برداری ذی‌نفعان | گزارش تحلیل نیازها و انتظارات ذی‌نفعان کلیدی;شناسایی و تحلیل ذی‌نفعان کلیدی از طریق نقشه‌برداری ذی‌نفعان و بررسی نیازها و انتظارات آن‌ها.;مدیریت ذینفعان و روابط بیرونی (MOP-132);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه شرکا در تعامل با سازمان | رضایت مالکان، سرمایه‌گذاران و سهامداران از مدیریت ریسک، انطباق با تغییرات محیطی، سلامت مالی و اداری، حاکمیت سازمانی و روابط سازمان | نمره قیمت سهام و سود تقسیمی | درصد سهم بازار و نتایج حسابرسی | میانگین نمره تجربه کلی مشتری (CSAT);;
3. تعامل با ذی‌نفعان;3-ج: تضمین حمایت مستمر ذی‌نفعان کسب و کار و حاکمیتی;3.3.2;ایجاد روابط سودمند;برنامه‌ها و مستندات رویدادهای شبکه‌سازی | گزارش همکاری در پروژه‌های مشترک;توسعه روابط متقابل و سودمند با ذی‌نفعان از طریق برگزاری رویدادهای شبکه‌سازی و همکاری در پروژه‌های مشترک.;مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه سامانه‌های ارتباط با مشتری (CRM)| توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه شرکا در تعامل با سازمان | درصد تعهد به فعالیت‌های هم‌آفرینی | مشارکت و همکاری در توسعه و بهبود فرآیندها، محصولات و خدمات مشترک | توسعه همکاری‌های شبکه‌ای و ایجاد هم‌افزایی‌ها | مشارکت در فعالیت‌های هم‌افزا و همکاری‌های مشترک | ارتباط سیستمی و شبکه‌سازی مؤثر بین سازمان و شرکا;;
3. تعامل با ذی‌نفعان;3-ج: تضمین حمایت مستمر ذی‌نفعان کسب و کار و حاکمیتی;3.3.3;شفافیت و پاسخگویی;گزارش‌های دوره‌ای و نشست‌های عمومی | مستندات ارتقاء شفافیت در ارتباطات;ارتقاء شفافیت در ارتباطات و پاسخگویی به نیازها و انتظارات ذی‌نفعان از طریق گزارش‌های دوره‌ای و نشست‌های عمومی.;مدیریت ذینفعان و روابط بیرونی (MOP-132);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;شاخص شفافیت و پاسخگویی در مدیریت | مسئولیت‌پذیری و پاسخگویی سازمان نسبت به جامعه | نمره شفافیت و رفتار اخلاقی در جامعه | رعایت رفتار اخلاقی در فعالیت‌های سازمانی | درصد رعایت قوانین و مقررات | امتیاز تطابقات قانونی | درصد انطباق با مقررات;;
